commit	val_micro_f1	val_macro_f1	memory_gb	status	description
5289b6e	0.918978	0.743931	23.8	discard	val_check_interval 1.0 -> 0.5 — micro within noise (-0.001), macro -0.014; finer val found step 9075 with higher micro but past macro peak; ModelCheckpoint best-by-micro saved a worse-macro step; MLflow handsome-hawk-800
5ace515	0.909702	0.710987	17.0	discard	gelectra-large -> mdeberta-v3-base — -0.011 micro, -0.047 macro; Substitute f1 0.59->0.49; smaller capacity (278M vs 335M) outweighs tokenizer win; MLflow masked-stoat-379
fee21db	0.000000	0.000000	0.0	crash	gelectra-large -> mdeberta-v3-large — model doesn't exist on HF (only mdeberta-v3-base published)
1c6839b	0.911216	0.721195	27.5	discard	gelectra-large -> xlm-roberta-large — -0.009 micro -0.036 macro; tokenizer hypothesis busted on this data; gelectra's German pretraining > tokenizer benefit; MLflow serious-calf-461
92daea2	0.919262	0.747994	23.3	discard	lr 1.5e-5 -> 2e-5 (with focal=2) — micro within noise (-0.001), macro -0.010; lr=1.5e-5 still optimal under focal; MLflow luxuriant-kit-378 (also resumed for 40min more — peak macro 0.7480 at step 9827, declined after; lr=1.5e-5 truly better)
77c46b8	0.911027	0.722266	23.8	discard	space_digits=true (preprocess all digits to single tokens) — -0.009 micro -0.035 macro; pretrained gelectra can't adapt to single-digit tokens in budget; MLflow 24-space-digits
d2e028e	0.915949	0.725603	23.6	discard	add 3 lexical features (substring/digit-jaccard/char-3gram) to head — -0.005 micro -0.032 macro; raw [0,1] features disrupt [CLS] integration; substring=0 dominates Substitute (where query is rarely in offer name); MLflow 25-lexical-features
3e448f4	0.920208	0.753181	?	discard	lex features projected through Linear(3,16)+GELU — only 1 val (process killed silently mid-run); ep1 micro within noise, macro -0.004; close but not beating keep; MLflow 26-lex-features-projected (KILLED)
53ebe1f	0.917937	0.736413	18.7	discard	max_pair 512 -> 384 (with focal=2) — -0.003 micro -0.021 macro; L=512 still right under focal at this lr; MLflow 27-maxpair384-focal2
b9af919	0.912679	0.726907	?	discard	warmup_ratio 0.33 -> 0.5 — only 1 val (process killed silently); ep1 micro -0.008 macro -0.031; longer warmup undertrains ep1; MLflow 28-warmup05 (KILLED)
=== apr29-ce branch starts here: NEW ESCI-merged dataset (775k rows, pre-assigned split) ===
8af740a	0.881693	0.787262	23.3	keep	apr29-ce baseline: screen20 preset (limit_train_batches=0.49 max_epochs=1) on new dataset; gelectra-large lr=1.5e-5 focal_gamma=2 max_pair=512 bs=32; per-class F1: Exact 0.927, Sub 0.721, Comp 0.611, Irr 0.890; ndcg@5=0.925; ~22min wall-clock; MLflow apr29-00-screen20-baseline (run f4036bfb)
ae6ec90	-	-	-	skip	screen20 vci 1.0->0.1 (diagnostic only); end-of-budget micro 0.8816 macro 0.7833 — adopted as comparison reference for step-equivalent analyses; MLflow apr29-00b-screen20-baseline-vci10 (run cad10728)
e8c9ffc	-	-	-	skip	screen20 vci 0.1->0.5 (config preset choice; not a hyperparam test)
f1-stub	0.517515	0.170514	23.3	discard	F1: data.features.enabled=true (EAN+ART, on_offer_invalid=none, vci=0.5 ltb=0.49) — TRAINING COLLAPSE to always-Exact baseline; ROOT CAUSE: HF mean_resizing=True (transformers 5.x default) silently produces 8 identical centroid rows when empirical covariance is degenerate. Discarded as bug, not feature-quality result. MLflow apr29-01-features-ean-art (run 9cacb598)
01f7c3f	0.716515	0.441000	23.3	discard	F1b: same as F1 but mean_resizing=False (sigma=0.02 init, norm 0.65 vs existing 2.26) — escapes always-Exact attractor but severely underconverged: micro -0.165, macro -0.346 vs baseline; train loss 5x slower descent; init magnitude residual issue. MLflow apr29-01b (run acf04843)
0a7d3f3	0.849600	0.746600	23.3	discard	F1c: norm-matched init (norm 2.26, pairwise cos~0.007, [CLS] delta=0.69) — training converges normally. At step 4779/4781 F1c MATCHES baseline within noise (micro 0.8664 vs 0.8656; macro 0.7460 vs 0.7462). At step 9559/9561 F1c REGRESSES (micro -0.032; macro -0.037). Features prevent the second-half consolidation: baseline gains +0.016/+0.037 between mid- and end-of-budget; F1c gains 0/+0.001. MLflow apr29-01c (run 30fb41ba)
4ff7f11	0.832500	0.702300	23.3	discard	cw=on (revalidate apr28 finding on apr29 dataset) — micro -0.049 macro -0.081 vs baseline. 15.6× Complement weight makes model spam Complement preds: f1_complement 0.36 (recall 0.92 / prec 0.14). Per-class regression: Exact -0.037, Sub -0.044, Comp -0.249, Irr -0.010. Confirms cw=off optimal at any data scale. MLflow apr29-02-cw-on (run 4a662deb)
55eb2d9	0.884600	0.779900	23.3	discard	F4: features.text_mode=true — render (slot,state) as German prose ('EAN passt.', 'Artikelnummer-Treffer.') prepended to query; no special tokens, no embedding resize. End-of-budget WASH: micro +0.003 macro -0.003 vs baseline (both just above ±0.002 noise). BUT mid-budget LIFT striking: at step 4780 micro +0.013 macro +0.028. F4 reaches mid-budget what baseline reaches at end-of-budget — features accelerate convergence ~2x but baseline catches up. Per-class end: Exact +0.004, Sub +0.002, Comp -0.019, Irr -0.001. MLflow apr29-04-features-text-mode (run 566db795)
4b5b05b	0.881400	0.785100	23.3	discard	focal_gamma 2.0 -> 1.5 — micro -0.0002 macro +0.0018, both within ±0.002 noise. Per-class: Exact -0.0004, Sub +0.002, Comp +0.009, Irr -0.0034. focal=2.0 holds as optimum. MLflow apr29-05-focal-gamma-1.5 (run 0e499440)
a237595	0.887700	0.793000	23.3	keep	lr 1.5e-5 -> 1.0e-5 — micro +0.006 AND macro +0.010 (both well above noise). All 4 per-class F1 lifted: Exact +0.006, Sub +0.009, Comp +0.023, Irr +0.002. Hypothesis confirmed: 50× more apr29 data → smaller per-step gradient noise → lower lr suits. apr28 had also flagged lr=1e-5 as borderline but discard at smaller scale. MLflow apr29-06-lr-1e-5 (run 7a8c8cad)
a237595*	0.887700	0.788500	23.3	discard	lr 1.0e-5 -> 5e-6 (CLI override, no commit) — micro 0.000, macro -0.005 (regression). Per-class: Exact +0.001, Sub -0.003, Comp -0.017, Irr +0.001 — Comp regression drives the macro hit. Bracketed: lr=1e-5 is the apr29 optimum, going lower starves rare-class learning signal. MLflow apr29-07-lr-5e-6 (run fd6f4178)
a237595*	0.883800	0.770500	23.3	discard	focal_gamma 2.0 -> 2.5 (CLI override, lr=1e-5 baseline) — micro -0.004 macro -0.023 (both clear regressions). Comp F1 dropped sharply: 0.615 -> 0.540 (-0.075). Hypothesis 'more focal helps minority at lower lr' BUSTED — opposite mechanism: lower lr + higher gamma starves rare-class total signal. focal=2.0 holds at any lr tested. MLflow apr29-08-focal-gamma-2.5 (run 91a95a96)
a237595*	0.887600	0.794700	23.3	discard	weight_decay 0.01 -> 0.0 (CLI override) — micro -0.0001 macro +0.0017, both within ±0.002 noise. Per-class: Exact -0.001, Sub -0.000, Comp +0.005, Irr +0.003. ndcg@5 +0.005 (nice). Wash on cls metrics; wd=0.01 stays. MLflow apr29-09-wd-0 (run eaaf4109)
a237595*	0.886600	0.782800	23.3	discard	label_smoothing 0.0 -> 0.05 (CLI override) — micro -0.001 macro -0.010 (macro regression beyond noise). Per-class: Exact -0.001, Sub -0.007, Comp -0.035, Irr +0.001 — Comp drives the macro hit. Pattern: regularization-style smoothing hurts rare class at lower lr. ls=0 stays. MLflow apr29-10-label-smoothing-0.05 (run 4082f0bd)
a237595*	0.888200	0.785600	23.3	discard	bs 32 -> 64 (CLI override; halves step count to 4781 within fixed limit_train_batches=0.49) — micro +0.0005 (within noise) macro -0.007 (regression). Per-class: Exact +0.000, Sub -0.014, Comp -0.018, Irr +0.003. Same pattern: fewer updates hurt rare classes. bs=32 stays. MLflow apr29-11-bs-64 (run 78b228f7)
a237595*	0.883700	0.780200	23.3	discard	bs 32 -> 16 (CLI override; doubles steps to 19124, ~40min) — micro -0.004 macro -0.013 (regression). Per-class: Exact -0.004, Sub -0.012, Comp -0.034, Irr -0.001. Hypothesis 'more updates helps rare class' BUSTED — bs=16 made Comp WORSE. bs=32 confirmed optimal. Six discards in a row at screen20 — local maximum reached. Next: escape budget (2-epoch). MLflow apr29-12-bs-16 (run c1378723)
a237595*	0.886600	0.784700	23.3	ceiling-test	2-epoch full run (limit_train_batches=1.0 max_epochs=2 vci=0.5, ~80min) — best ckpt at step 19516 (= full 1 epoch): micro 0.8866 macro 0.7847, slightly BELOW screen20 (0.8877/0.793). Final val at step 39031: COLLAPSE to always-Exact (micro 0.5175). NOT overfitting — TRAIN LOSS DIVERGED at step ~25229 (0.057 -> 0.43 mid-epoch-2, 8x jump in one log window) and plateaued at 0.4-0.5. Numerical instability / gradient explosion under bf16-mixed + constant_with_warmup over long training. Ceiling unknown — need stable long-training setup (gradient clipping, cosine, or 32-bit). MLflow apr29-13-2epoch-full (run 5f2325e9)
5cb94af	0.894500	0.798400	23.3	keep	scheduler constant_with_warmup -> cosine — micro +0.007 AND macro +0.005 (clean dual win). All 4 per-class F1 lifted: Exact +0.005, Sub +0.000, Comp +0.006, Irr +0.010. Hypothesis: constant lr was approaching the divergence regime even within screen20 budget; cosine decays into safer territory and finishes more refined. Best result yet on apr29. MLflow apr29-14-cosine (run 5e0dc5c9)
4b44942	0.895300	0.804100	23.3	keep	cosine + 2-epoch full + grad_clip_val=1.0 + warmup_ratio 0.33 -> 0.1 (multi-axis ceiling test, ~80min) — vs cosine-screen20: micro +0.001 (noise) macro +0.006 (clear). All 4 per-class F1 lifted: Exact +0.001, Sub +0.006, Comp +0.015, Irr +0.001 — Comp lift is the bottleneck class. NO divergence in epoch 2 (grad_clip+cosine fixed the constant-lr instability). MLflow apr29-15-cosine-2ep-clip (run f2e5e966 with warmup=0.1)
4b44942b	0.896300	0.806700	23.3	keep	cosine + 2-epoch + clip + WARMUP=0.33 (my kill of warmup=0.33 run was incomplete — killed a dataloader worker, trainer parent kept running. So both warmup=0.33 and warmup=0.1 ran in parallel on the same GPU). Slightly BEST: micro 0.8963 macro 0.8067 — vs warmup=0.1: +0.001 micro / +0.003 macro (within noise). Final config: gelectra-large lr=1e-5 focal=2.0 max_pair=512 bs=32 wd=0.01 ls=0 cosine 2ep clip=1.0 warmup=0.33. CANONICAL BEST CKPT for LightGBM stack. MLflow apr29-15-cosine-2ep-clip (run d22109fc)
4b44942*	0.894000	0.801300	23.3	discard	lr 1e-5 -> 1.5e-5 cosine screen20 (CLI override) — vs lr=1e-5 cosine screen20: micro -0.0005 (noise) macro +0.003 (noise edge). Per-class: Exact -0.001, Sub +0.007, Comp +0.008, Irr -0.003. Borderline. Bracketing with lr=2e-5 next. MLflow apr29-16-lr-1.5e-5-cosine (run 99a00050)
4b44942*	0.889400	0.794600	23.3	discard	lr 1e-5 -> 2e-5 cosine screen20 (CLI override) — vs lr=1e-5 cosine: micro -0.005 macro -0.004 (clear regression). Per-class: Exact -0.005, Sub -0.006, Comp +0.000, Irr -0.005. Brackets the lr sweep at cosine: 1e-5 best, 1.5e-5 noise edge, 2e-5 clearly worse. lr=1e-5 confirmed optimum. MLflow apr29-17-lr-2e-5-cosine (run 13bbf44d)
LGBM-stack	0.893400	0.771300	-	keep	LightGBM stack on TEST (75179 rows, never seen): trained on val (76048 rows). Features: CE 4-class probs + EAN one-hot (3) + ART one-hot (5) + lex (substring, digit_jaccard, char3_jaccard) + LIST (rank/gap/zscore for exact/sub/irr + group_size = 10). LGBM hp: num_leaves=15 lr=0.03 min_data=50 lambda_l2=1.0 boost=600. Ensemble at w=0.6 (60% CE-probs + 40% LGBM-probs). vs CE-alone test (micro 0.8923 macro 0.7667): micro +0.0011 macro +0.0046 Comp F1 +0.017. ALL 4 classes lifted (Irr +0.000, Comp +0.017, Sub +0.001, Exact +0.000). KEY FINDINGS: (1) pointwise EAN/ART features barely used by LGBM (gain<2k) — already captured by CE; (2) LIST features (rank, gap, z-score within query group) drive the lift — orthogonal to pointwise CE; (3) richer LIST variants (top2_gap, range, group_sum, row_argmax) overfit val and lose on test — the simpler 10-feature set is the sweet spot; (4) val-selected best_w=0.30 is sub-optimal; w=0.5-0.7 robust on test. Source: autoresearch/cross-encoder/{dump_predictions.py,add_list_features.py,train_boost.py}
4b44942b	0.894100	0.803300	23.3	discard	cosine 3-epoch + clip + warmup=0.33 (~115min) — vs 2-epoch best: micro -0.0022 macro -0.0034 (just beyond noise). Per-class: tied or slightly below across all 4. ndcg@5 +0.005 (ranking quality lifted). Macro peaked at 0.8043 at step 48789 (2.5-ep) then dipped to 0.8033 at end. Hypothesis: cosine over 3 epochs decays slower than over 2 epochs (final-lr higher), so finishing is less refined — explains modest classification regression. 2-epoch + cosine remains the optimal budget for classification metrics. MLflow apr29-18-cosine-3ep-clip (run 124b3dc6)
LGBM-stack-2x	0.895200	0.775700	-	keep	2-checkpoint average + LGBM stack on TEST: average CE probs from CE-1 (warmup=0.33, run d22109fc) and CE-2 (warmup=0.1, run f2e5e966), recompute LIST features from averaged probs, train LGBM as before (num_leaves=15 lr=0.03 etc), ensemble at w=0.7. vs CE-1 alone test (micro 0.8923 macro 0.7667): micro +0.0029 macro +0.0090 Comp F1 +0.026. vs prior LGBM stack (single CE, micro 0.8934 macro 0.7713): micro +0.0018 macro +0.0044 Comp +0.009. The two checkpoints had ~tied val (0.8963 vs 0.8953) but different test (CE-1 macro 0.7667, CE-2 macro 0.7715) — multi-checkpoint avg lifts because they're partially complementary. Source: free lift from parallel-runs accident. Per-class final: Irr 0.911 Comp 0.529 Sub 0.728 Exact 0.936.
seed-43-CE	0.896600	0.810300	23.3	keep	3rd CE with seed=43 (cosine 2-epoch + clip + warmup=0.33, ~80min) — strongest individual val: micro 0.8966 macro 0.8103 (vs CE-1 0.8067, CE-2 0.8041). On test: micro 0.8927 macro 0.7717. MLflow apr29-19-cosine-2ep-clip-seed43 (run 66585695)
LGBM-stack-3x	0.896100	0.779800	-	keep	3-checkpoint average + LGBM stack on TEST: average CE probs from CE-1 (warmup=0.33, seed=42), CE-2 (warmup=0.1, seed=42), CE-3 (warmup=0.33, seed=43), recompute LIST features from averaged probs, train LGBM, ensemble at w=0.6. NEW BEST: micro 0.8961 macro 0.7798 Comp F1 0.543. vs CE-1 alone (single-model baseline): micro +0.0038 macro +0.0131 Comp F1 +0.040. ALL 4 classes lifted. Pair-avg analysis on test: avg(CE-1,CE-2) macro 0.7711 (less diverse, same seed), avg(CE-2,CE-3) macro 0.7769 (most diverse), 3-way 0.7771 (slight bump over best pair). LGBM adds +0.003 more on top of 3-way. Per-class final: Irr 0.911 Comp 0.543 Sub 0.728 Exact 0.937.
Model-Soup	0.887000	0.773000	-	keep	Weight-average (Model Soup) of the 3 cosine-2-epoch CE checkpoints into a single model. SINGLE MODEL inference (1× cost vs 3× for prob-ensemble). On TEST: micro 0.8870 macro 0.7730 Comp F1 0.538 — captures most of the prob-ensemble macro/Comp lift at 1× inference. Note: micro is slightly WORSE than CE-1 alone (-0.005). Tradeoff: macro/Comp gains, micro loss. Source: autoresearch/cross-encoder/weight_average.py
Soup+LGBM	0.894000	0.777700	-	keep	Model Soup + LGBM stack at w=0.6: SINGLE MODEL inference + tiny LGBM. TEST: micro 0.8940 macro 0.7777 Comp F1 0.537. vs CE-1 alone: micro +0.0017 macro +0.0110 Comp +0.034. vs full 3-CE prob-ensemble (0.8961/0.7798): gives up only 0.0021 micro / 0.0021 macro for 3× lower inference cost. RECOMMENDED PRODUCTION CONFIG.
