commit	latency_p95_ms	latency_p50_ms	val_micro_f1	val_macro_f1	peak_vram_gb	status	description
3995a13	2118.3	2085.7	0.8626	0.7242	3.2	keep	encode_batch_fast tokenize: replace HF __call__ with direct Rust _tokenizer.encode_batch_fast in pipelined_forward; configure enable_padding+enable_truncation once at init; assemble tensors via np.empty + torch.from_numpy (zero-copy). p95 3107→2118 (-989 ms / -32%); CLEARS 2500 ms target with 382 ms margin. Quality unchanged: same model ckpt + same Rust BPE + same padding/truncation = byte-identical token IDs (still f1_exact=0.9081 full val, distill-apr30-long ckpt). New top stages: sum_render=842ms, sum_tokenize=817ms, bubble=1194ms (was 2024). Path forward: render-side optimization or pipeline-bubble reduction
908a734	2031.5	2014.9	0.8626	0.7242	3.2	keep	cap description chars at 4096 before normalize+clean_html: tokenizer truncates offer side to 512 tokens (~3000 chars) anyway, so processing 8 KB of filler-padded German text in regex is wasted work. Verified normalize is prefix-preserving (0/200 token-id mismatches between capped and uncapped paths on bench fixture). Quality unchanged: f1_exact=0.9081. p95 2118→2031 (-87 ms). Sub-stage: sum_render 842→454, sum_tokenize 817→508, sum_h2d 127→770 (regression — worker races ahead and back-presses on busy CUDA stream; net pipeline win is bubble shrink 1194→1120). Could investigate combined h2d (1 call for 3 tensors) or pinned memory next
8f7c2f0	1898.3	1889.4	0.8626	0.7242	3.2	keep	pinned-buffer h2d: pre-allocated double-buffered pinned host tensors (input_ids+attention_mask+token_type_ids × 2 slots) at init; worker fills slot (i+1)%2 in-place via numpy view, .to(non_blocking=True) is now truly async. sum_h2d 770→3 ms (-767). Net p95 2031→1898 (-133). Calibration step rose 65→658 ms because GPU forward is now stream-dense and cuda sync absorbs the residual; net reranker total dropped 139 ms. Quality unchanged (pinned-vs-pageable invisible to model). Cumulative from baseline 9234→1898 ms (-79%, -7336 ms)
8f7c2f0-final	1887.7	1875.9	0.8626	0.7242	3.2	keep	final n=100 confirmation bench of branch tip 8f7c2f0 (no code change; just tighter p95 estimate); p50=1875.9 p95=1887.7 p99=1902.3, peak_vram 3.2 GB; latency target ≤2500 ms cleared with 612 ms p95 margin and 598 ms p99 margin; session cumulative 3107→1888 ms p95 (-1219 ms / -39.2%); production ckpt distill-apr30-long/rare-penguin-951/best-step=19510-val_cls_micro_f1=0.8588.ckpt at f1_exact=0.9081 (full val, +0.028 above 0.880 floor)
0b7f33d	1712.0	1707.2	0.8626	0.7242	3.2	keep	pre-tokenized offer cache + /rerank_pretokenized endpoint (build_offer_tokens.py, verify_pretokenized.py, Reranker.rerank_pretokenized). Offer half is independent of query → tokenize once offline, store as .npz (offer_token_ids int32 N×T_OFFER, lengths, offer_ids). At request time: tokenize query (~ms), look up cache rows, numpy-assemble [CLS] q [SEP] offer [SEP] [PAD] into existing pinned chunk buffers, forward as before. Verified byte-identical pair tokens vs HF wrapper for 2000/2000 offers. Quality f1_exact=0.9081 unchanged. Wrapped forward in torch.inference_mode() to avoid OOM (the new fast worker queues 16 GPU forwards back-to-back; without inference_mode, autograd activations across all 16 stay alive simultaneously and exceed 24 GB on 4090). Sub-stage breakdown: body_read 50→0, json_parse 47→0, sum_render 451→0 (gone), sum_tokenize 508→0 (gone), assemble=10, sum_h2d 3→1, forward dispatch 265→8, bubble 581→0 (worker << GPU), calibration 658→1684 (entire GPU forward now exposed). p95 1888→1712 ms (-176 / -9.3%); calibration=1684 is the new floor = total GPU forward time of 16×(128,512) bf16 gelectra-base. Cumulative 3107→1712 ms (-1395 / -44.9%)
0b7f33d-8l	1146.1	1141.1	0.7552	0.4019	2.7	keep-explore	8L pruned gelectra-base binary-head re-bench on pretokenized path (same upset-newt-834 ckpt as discarded row 28 9ccbd27, prune_layers=8 binary_head=True from distill_cross_encoder_binary_8L config). Hypothesis confirmed: prior 8L p95=3676 was CPU-prep bottlenecked. With prep ~25 ms total on the new pretokenized path, GPU forward scales ~linearly with layer count (12L calibration_sync floor 1684 ms × 8/12 ≈ 1123 predicted; observed p50=1141, p95=1146). p95 1712→1146 (-566 ms / -33%) vs 12L tip 0b7f33d. Quality f1_exact=0.8644 (full val, 76048 rows) UNCHANGED from row 28 (byte-identical ckpt) — below 0.880 floor by 0.036, in keep-explore band [0.840, 0.879]; micro/macro low because predictions clamp to {EXACT, IRRELEVANT} via 4-channel inflation (f1_complement/substitute = 0 by construction). Peak VRAM 2.7 GB (12L was 3.2). Latency lever wide-open below 1712: a longer 8L distill (or 8L pruned-large keeping H=1024) needs to lift f1_exact 0.8644→0.880 to convert this -566 ms win to keep
0b7f33d-chunk64	1712.4	1710.7	0.8626	0.7242	2.4	discard	Sweep context: chunk-size sweep on pretokenized path with 12L production ckpt (rare-penguin-951, byte-identical to row 34). All 5 chunk sizes (64/128/256/384/512) collapse to a 3.6 ms p95 band [1710.3, 1713.6] — completely noise-floor. The 1684 ms calibration_sync (= entire GPU forward) is irreducible without a faster forward kernel; chunk size moves only kernel-launch overhead, which is dwarfed by it. Quality unchanged: f1_exact=0.9081 (full val, row 26 measurement on byte-identical ckpt). p95 1712.4 vs anchor 1712.0 (+0.4 within ±5 ms noise band, technically >1712 → discard per strict rule). p99=1712.6 max=1712.6. 32 chunks (vs 16 at 128). Launch-overhead doubled but absorbed by 1684 ms forward floor. f1_exact=0.9081
0b7f33d-chunk128	1713.6	1712.4	0.8626	0.7242	3.2	discard	Sweep context: chunk-size sweep on pretokenized path with 12L production ckpt (rare-penguin-951, byte-identical to row 34). All 5 chunk sizes (64/128/256/384/512) collapse to a 3.6 ms p95 band [1710.3, 1713.6] — completely noise-floor. The 1684 ms calibration_sync (= entire GPU forward) is irreducible without a faster forward kernel; chunk size moves only kernel-launch overhead, which is dwarfed by it. Quality unchanged: f1_exact=0.9081 (full val, row 26 measurement on byte-identical ckpt). p95 1713.6 vs anchor 1712.0 (+1.6 within noise → discard per strict rule). Reproduces row 34 anchor (1712.0). 16 chunks. f1_exact=0.9081
0b7f33d-chunk256	1710.3	1706.4	0.8626	0.7242	4.1	keep	Sweep context: chunk-size sweep on pretokenized path with 12L production ckpt (rare-penguin-951, byte-identical to row 34). All 5 chunk sizes (64/128/256/384/512) collapse to a 3.6 ms p95 band [1710.3, 1713.6] — completely noise-floor. The 1684 ms calibration_sync (= entire GPU forward) is irreducible without a faster forward kernel; chunk size moves only kernel-launch overhead, which is dwarfed by it. Quality unchanged: f1_exact=0.9081 (full val, row 26 measurement on byte-identical ckpt). p95 1710.3 vs anchor 1712.0 (-1.7 within noise band, technically <1712 → keep per strict rule). 8 chunks. Peak VRAM 3.2→4.1. f1_exact=0.9081
0b7f33d-chunk384	1710.4	1708.1	0.8626	0.7242	5.8	keep	Sweep context: chunk-size sweep on pretokenized path with 12L production ckpt (rare-penguin-951, byte-identical to row 34). All 5 chunk sizes (64/128/256/384/512) collapse to a 3.6 ms p95 band [1710.3, 1713.6] — completely noise-floor. The 1684 ms calibration_sync (= entire GPU forward) is irreducible without a faster forward kernel; chunk size moves only kernel-launch overhead, which is dwarfed by it. Quality unchanged: f1_exact=0.9081 (full val, row 26 measurement on byte-identical ckpt). p95 1710.4 vs anchor 1712.0 (-1.6 within noise band → keep per strict rule). 6 chunks (5×384 + 80 partial). Peak VRAM 3.2→5.8. f1_exact=0.9081
0b7f33d-chunk512	1712.8	1706.9	0.8626	0.7242	7.2	discard	Sweep context: chunk-size sweep on pretokenized path with 12L production ckpt (rare-penguin-951, byte-identical to row 34). All 5 chunk sizes (64/128/256/384/512) collapse to a 3.6 ms p95 band [1710.3, 1713.6] — completely noise-floor. The 1684 ms calibration_sync (= entire GPU forward) is irreducible without a faster forward kernel; chunk size moves only kernel-launch overhead, which is dwarfed by it. Quality unchanged: f1_exact=0.9081 (full val, row 26 measurement on byte-identical ckpt). p95 1712.8 vs anchor 1712.0 (+0.8 within noise → discard per strict rule). 4 chunks (3×512 + 464). Peak VRAM 3.2→7.2. f1_exact=0.9081
0b7f33d-8l4c	1142.5	1138.4	0.8463	0.7154	2.7	keep	4h finalize 8L pruned gelectra-base 4-class head (secretive-seal-668, step 36091; distill_cross_encoder_base_8L config; lr=3e-5 T=2.0 α=0.7 warmup_ratio=0.05 grad_clip=1.0 monitor=val/cls/f1_exact). Trajectory: rapid climb 974→3899 (0.80→0.86), soft plateau 3900-7800 (~0.862, looked done), then resumed up — partial-val peak 0.8799 set at step 36091 (50% of 4h) and held for remaining 50% as 25 subsequent vals oscillated in [0.865, 0.879] with stdev shrinking from 0.0056 → 0.0022 as cosine LR decayed. Quality f1_exact=0.8931 (full val, 76048 rows) — CLEARS 0.880 floor by +0.013, well outside ±0.003 subset noise. Other class F1s informational: micro 0.8463, macro 0.7154, f1_complement 0.4498 (better than 12L distill's 0.4137 — smaller student didn't collapse the rare class). Latency p95=1142.5 ms (-569.5 / -33%) vs 12L production keep at 1712 ms; same p50 and peak VRAM as row 35 8L binary (head shape is irrelevant to forward time, only backbone). NEW PRODUCTION KEEP — Pareto-dominates row 26 12L distill-long (p95 1712, f1_exact 0.9081): trades 0.015 quality for 569 ms latency. 12L row stays as safety net. Confirms the 9ccbd27 hypothesis: 4-class signal stabilizes 8L distill where binary head's argmax-flipping noise plateaued at full-val f1_exact 0.8644 (row 35). f1_exact=0.8931
